id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
1321,Ethereum Classic,ETC,ethereum-classic,257,2016-07-24T00:00:00.000Z,210700000,130979049.9,210700000,,29,2021-11-14T08:47:04.000Z,55.51162879,720987104.3,-20.6662,-0.27470065,-0.62743933,5.04572085,4.24820897,-4.71441331,-24.17885976,7270860395,0.2589,11696300185,2021-11-14T08:47:04.000Z
3794,Cosmos,ATOM,cosmos,188,2019-03-14T00:00:00.000Z,,224532559.4,282317162.4,,30,2021-11-14T08:47:08.000Z,32.2602747,308064364.7,-24.3899,-0.28173509,-0.50901704,-10.42413967,-1.84186953,-5.10057694,100.5458377,7243482046,0.2578,9107629212,2021-11-14T08:47:08.000Z
2416,THETA,THETA,theta,80,2018-01-17T00:00:00.000Z,1000000000,1000000000,1000000000,,31,2021-11-14T08:47:06.000Z,7.052386532,167781594.9,-29.3959,-0.42806114,-1.55148401,-4.61254017,18.09984937,1.24866372,-12.09191366,7052386532,0.2511,7052386532,2021-11-14T08:47:06.000Z
4023,Bitcoin BEP2,BTCB,bitcoin-bep2,54,2019-06-18T00:00:00.000Z,,105109.8694,112501,"{'id': 1839, 'name': 'Binance Chain (BEP2)', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'BTCB-1DE'}",32,2021-11-14T08:46:10.000Z,64170.2626,27970424.07,-25.0415,-0.90453074,0.06735831,2.79030578,8.45357584,36.33355376,35.81403125,6744927922,0.2401,7219218712,2021-11-14T08:46:10.000Z
4195,FTX Token,FTT,ftx-token,86,2019-07-31T00:00:00.000Z,352170015,120014732.2,335885068.3,"{'id': 1839, 'name': 'Binance Chain (BEP2)', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'FTT-F11'}",33,2021-11-14T08:47:03.000Z,55.63408561,342627397.2,39.6617,-0.63754036,-1.63743196,-11.3409173,-1.01066925,-20.06238634,6.53063476,6676909887,0.2377,19592656765,2021-11-14T08:47:03.000Z
3513,Fantom,FTM,fantom,116,2018-10-29T00:00:00.000Z,3175000000,2545006273,2545006273,,34,2021-11-14T08:47:05.000Z,2.579610363,445407901.8,-37.3368,-0.93050097,-2.16096468,-8.16999723,31.79684348,77.60272343,579.2607637,6565124557,0.2338,8190262904,2021-11-14T08:47:05.000Z
4943,Dai,DAI,multi-collateral-dai,421,2019-11-22T00:00:00.000Z,,6474951714,6474952202,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b175474e89094c44da98b954eedeac495271d0f'}",35,2021-11-14T08:46:09.000Z,0.999428415,245674756.3,-29.7521,0.00426263,-0.1026724,-0.08566022,-0.02781294,-0.1182761,-0.1370561,6471250728,0.2304,6471251217,2021-11-14T08:46:09.000Z
4642,Hedera,HBAR,hedera,70,2019-09-17T00:00:00.000Z,50000000000,15018941582,50000000000,,36,2021-11-14T08:47:07.000Z,0.428830749,117008690.6,-59.4758,-0.26488078,-5.53023585,9.97655269,18.24435894,-18.05290223,67.26850014,6440583973,0.2293,21441537467,2021-11-14T08:47:07.000Z
6892,Elrond,EGLD,elrond-egld,57,2020-09-04T00:00:00.000Z,31415926,19731123.79,22722248,,37,2021-11-14T08:46:09.000Z,319.3774892,95939693.62,-30.1471,0.3232103,-2.30944194,-1.42515383,33.11831438,18.78110569,131.8715326,6301676775,0.2244,10033539567,2021-11-14T08:46:09.000Z
6535,NEAR Protocol,NEAR,near-protocol,70,2020-08-11T00:00:00.000Z,1000000000,546225896,1000000000,,38,2021-11-14T08:47:05.000Z,11.41601456,195716118.3,-29.6521,1.25819643,2.50178444,12.17887185,46.55219024,25.09305671,231.3003284,6235722783,0.222,11416014563,2021-11-14T08:47:05.000Z
1966,Decentraland,MANA,decentraland,188,2017-09-17T00:00:00.000Z,,1816923291,2194003527,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0f5d2fb29fb7d3cfee444a200298f468908cc942'}",39,2021-11-14T08:46:09.000Z,3.226674719,3313556378,-59.4789,1.92507384,-13.49683079,16.63244173,331.3110228,283.5271533,264.3917542,5862620451,0.2087,7079335715,2021-11-14T08:46:09.000Z
5665,Helium,HNT,helium,31,2020-06-05T00:00:00.000Z,223000000,102017612.1,223000000,,40,2021-11-14T08:47:07.000Z,53.66311805,58656169.91,-51.1276,3.51791503,3.33216722,33.0540586,147.7409961,160.3702499,185.3870202,5474583161,0.1949,11966875324,2021-11-14T08:47:07.000Z
2011,Tezos,XTZ,tezos,175,2017-10-06T00:00:00.000Z,,866856610.9,895813549.6,,41,2021-11-14T08:46:10.000Z,5.899862564,169724305.1,-11.3436,-0.59580333,3.22132408,-7.05534473,-13.30392702,-20.96744419,54.59815493,5114334867,0.1821,5285176826,2021-11-14T08:46:10.000Z
6719,The Graph,GRT,the-graph,136,2020-12-17T00:00:00.000Z,10057044431,4715735200,10000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc944e90c64b2c07662a292be6244bdf05cda44a7'}",42,2021-11-14T08:47:07.000Z,1.075248451,127832922.5,-43.4381,-1.08485738,-2.3760557,-0.72174909,52.52226433,21.14967475,17.34508637,5070586968,0.1806,10813821444,2021-11-14T08:47:07.000Z
