,SYMBOL,Open,High,Low,Close,Adj Close,Volume,Gross Profit,percentage_chng_24h,percentage_chng_7d,percentage_chng_30d,percentage_chng_1h
30,AME,140.74000549316406,140.74000549316406,139.375,140.08999633789062,140.08999633789062,703465.0,1587214000,-0.12120217852783903,-0.4824804333695225,5.936556625898961,0.3330909429539543
31,AMGN,210.69000244140625,210.8419952392578,207.0800018310547,207.39999389648438,207.39999389648438,3115891.0,19265000000,-1.887509108607079,-1.1133483815526617,2.1355743068446102,-0.15886858709578938
32,AMP,308.8500061035156,310.5450134277344,306.8299865722656,307.67999267578125,307.67999267578125,376865.0,5816000000,-0.27550193072916274,,,-0.04223100687981674
33,AMT,267.3299865722656,267.8349914550781,259.1400146484375,260.5,260.5,3466162.0,5814300000,-4.263140699490689,-2.062405336243138,-3.500370633208627,-0.09204197413648617
34,AMZN,3537.0,3593.8798828125,3525.820068359375,3545.679931640625,3545.679931640625,2546886.0,152757000000,0.5823874123260772,0.17504773035642343,4.52848461787995,-0.27394690435878055
35,ANET,525.0,532.1099853515625,521.5390014648438,528.1699829101562,528.1699829101562,355307.0,1481886000,0.4507408087123567,-0.8934275324546237,28.340936966888403,-0.02744269114856556
36,ANSS,393.4100036621094,396.2900085449219,389.3599853515625,394.42999267578125,394.42999267578125,335741.0,1496675000,0.6661184479542973,-3.6563463640417107,3.224622262750102,0.19939892730927336
37,ANTM,436.44000244140625,438.1600036621094,433.1549987792969,434.3900146484375,434.3900146484375,1115979.0,33823000000,-0.5995274841856923,3.5421533178954654,0.43205590552616924,-0.29714750994798184
38,AON,299.8599853515625,303.6000061035156,298.57000732421875,300.44000244140625,300.44000244140625,1108658.0,5174000000,0.03329763092995294,4.09316106074207,,0.12821905701469327
39,AOS,82.0,82.0,81.05999755859375,81.76000213623047,81.76000213623047,782856.0,1108200000,-0.40199076182421445,5.8542786685679,,0.14086042977849667
40,APA,29.1200008392334,29.920000076293945,29.084999084472656,29.610000610351562,29.610000610351562,6317012.0,2714000000,0.5432931859664221,-1.5050129141538093,,-0.5708531644533502
41,APD,308.5,308.510009765625,303.1099853515625,303.79998779296875,303.79998779296875,1509981.0,2998200000,-2.000003937752016,0.2230779628374412,3.398820094188071,0.15167220289158279
42,APH,84.05000305175781,85.0,83.56999969482422,84.95999908447266,84.95999908447266,2600643.0,2664100000,1.1187841930053468,3.1679692096232297,9.44379356131546,0.10602422892246058
43,APTV,172.1199951171875,174.0561981201172,170.13059997558594,172.1300048828125,172.1300048828125,1777813.0,2057000000,0.9560145940249266,-2.5881270701538157,-1.3823815131504567,-0.06965198714506822
44,ARE,205.94000244140625,206.08999633789062,203.7550048828125,206.0399932861328,206.0399932861328,456692.0,1371205000,0.2383800666992059,-0.32489485257458584,0.690704255082345,0.4939009503620427
45,ATO,95.87000274658203,96.27999877929688,95.12999725341797,96.20999908447266,96.20999908447266,972611.0,1695754000,0.817351751862638,1.5320805129641673,3.5931366260370226,0.5118085482530528
46,ATVI,69.31500244140625,70.68000030517578,68.13999938964844,70.43000030517578,70.43000030517578,11628230.0,5826000000,1.0618422124345661,2.7421503171771935,-10.870955025701273,0.07458142381693442
47,AVB,241.0500030517578,245.5,240.4499969482422,245.42999267578125,245.42999267578125,383096.0,1479342000,1.833948080862657,1.3328280431192958,1.8294752260644986,0.4970146562894376
48,AVGO,567.6900024414062,567.6900024414062,559.830078125,565.77001953125,565.77001953125,1364469.0,17370000000,0.4527625014683896,0.7693387111657364,5.934129969173037,0.22402129575015625
49,AVY,226.6300048828125,226.6300048828125,223.6699981689453,224.58999633789062,224.58999633789062,314251.0,1923300000,-0.2664443789735935,-0.5432363472688001,3.4310128508270457,0.022267123397507766
50,AWK,171.22000122070312,173.1199951171875,170.9499969482422,172.67999267578125,172.67999267578125,491874.0,2155000000,1.1362229824309447,,,0.5091501683123808
51,AXP,182.52999877929688,183.92999267578125,182.0399932861328,183.1300048828125,183.1300048828125,1748578.0,22086000000,0.681733738701982,2.943005759460898,,-0.09820639293979623
52,AZO,1895.239990234375,1921.364990234375,1886.0899658203125,1911.8399658203125,1911.8399658203125,153194.0,7717785000,1.357733978186378,3.7564518775947513,5.680622161653504,0.33085858798891987
53,BA,227.3699951171875,233.94000244140625,226.9199981689453,233.08999633789062,233.08999633789062,21782627.0,-1690000000,5.489676527631175,-1.5592978238041588,6.728497327298117,0.017166628911431454
